ÐòºÅ,µ¥´Ê,word_id,word
176_L4,boil,,
177_L4,book,644_l12,book
178_L4,bookcase,,
179_L4,border,,
180_L4,bored,1698_l33,bored
181_L4,born,376_l7,born
182_L4,borrow,839_l16,borrow
183_L4,boss,1312_l26,boss
184_L4,both,,
185_L4,bother,,
186_L4,bottle,,
187_L4,bottom,,
188_L4,bow,826_l16,bow
189_L4,bowl,827_l16,bowl
190_L4,box,1377_l28,box
191_L4,boy,1371_l28,boy
192_L4,brain,,
193_L4,brave,936_l19,brave
194_L4,Brazilian,,
195_L4,bread,162_l3,bread
196_L4,break,168_l3,break
197_L4,breakfast,170_l3,breakfast
198_L4,breath,164_l3,breath
199_L4,bridge,1170_l24,bridge
200_L4,bright,253_l5,bright
201_L4,bring,1700_l33,bring
202_L4,brother,109_l2,brother
203_L4,brown,,
204_L4,build,1073_l22,build
205_L4,building,1074_l22,building
206_L4,bulb,,
207_L4,burn,374_l7,burn
208_L4,bus,1575_l31,bus
209_L4,bush,648_l12,bush
210_L4,business,1577_l31,business
211_L4,busy,1579_l31,busy
212_L4,but,1570_l31,but
213_L4,butter,1568_l31,butter
214_L4,buy,1580_l31,buy
215_L4,by,,
216_L4,cabbage,,
217_L4,cage,,
218_L4,cake,506_l9,cake
219_L4,calculator,,
220_L4,calendar,,
221_L4,call,518_l9,call
222_L4,calm,,
223_L4,camera,1258_l25,camera
224_L4,camp,1666_l33,camp
225_L4,can,,
226_L4,Canada,,
227_L4,cancel,,
228_L4,candle,,
229_L4,candy,,
230_L5,cap,,
231_L5,capital,,
232_L5,captain,,
233_L5,car,442_l8,car
234_L5,card,444_l8,card
235_L5,care,447_l8,care
236_L5,careful,449_l8,careful
237_L5,careless,450_l8,careless
238_L5,carrot,443_l8,carrot
239_L5,carry,445_l8,carry
240_L5,case,,
241_L5,casually,,
242_L5,cat,451_l8,cat
243_L5,catch,452_l8,catch
244_L5,cause,127_l3,cause
245_L5,celebrate,1235_l25,celebrate
246_L5,cent,1498_l30,cent
247_L5,center/centre,,
248_L5,century,1499_l30,century
249_L5,certain,,
250_L5,chair,1647_l32,chair
251_L5,chairman,1648_l32,chairman
252_L5,chalk,1555_l31,chalk
253_L5,challenge,1079_l22,challenge
254_L5,champion,,
255_L5,chance,,
256_L5,change,701_l13,change
257_L5,character,,
258_L5,charity,,
259_L5,chase,,
260_L5,chat,439_l8,chat
261_L5,cheap,876_l17,cheap
262_L5,cheat,,
263_L5,check,878_l17,check
264_L5,cheer,97_l2,cheer
265_L5,cheese,99_l2,cheese
265_L5,cheese,950_l19,cheese
266_L5,chemistry,,
267_L5,chess,875_l17,chess
268_L5,chest,,
269_L5,chew,,
270_L5,chicken,395_l7,chicken
271_L5,child,1072_l22,child
272_L5,China,948_l19,China
273_L5,Chinese,947_l19,Chinese
274_L5,chip,,
275_L5,chocolate,532_l10,chocolate
276_L5,choice,549_l10,choice
277_L5,choose,100_l2,choose
278_L5,chop,,
279_L5,chopsticks,,
280_L5,chore,,
281_L5,Christmas,,
282_L5,church,,
283_L5,cigarette,,
284_L5,cinema,,
285_L5,circle,,
286_L5,city,1356_l27,city
287_L6,clap,1454_l29,clap
288_L6,class,,
289_L6,clean,769_l15,clean
290_L6,clear,771_l15,clear
291_L6,clerk,,
292_L6,clever,775_l15,clever
293_L6,climb,1488_l30,climb
294_L6,clock,397_l7,clock
295_L6,close,,
296_L6,clothes,,
297_L6,clothing,,
298_L6,cloud,810_l15,cloud
299_L6,club,1487_l30,club
300_L6,coach,501_l9,coach
301_L6,coal,500_l9,coal
302_L6,coat,502_l9,coat
303_L6,coffee,1739_l34,coffee
304_L6,coin,,
305_L6,cola,,
306_L6,cold,470_l9,cold
307_L6,collect,1191_l24,collect
308_L6,college,1195_l24,college
309_L6,color,,
310_L6,combine,,
311_L6,come,1659_l33,come
312_L6,comedy,,
313_L6,comfortable,1132_l23,comfortable
314_L6,comma,,
315_L6,comment,1320_l26,comment
316_L6,common,1326_l26,common
317_L6,communicate,,
318_L6,company,861_l17,company
319_L6,compare,583_l11,compare
320_L6,competition,866_l17,competition
321_L6,complain,860_l17,complain
322_L6,complete,867_l17,complete
323_L6,computer,,
324_L6,con,,
325_L6,concentrate,,
326_L6,concert,,
327_L6,condition,939_l19,condition
328_L6,conference,,
329_L6,confident,1310_l26,confident
330_L6,conjunction,,
331_L6,connect,1193_l24,connect
332_L6,consider,,
333_L6,continue,1302_l26,continue
334_L6,control,,
335_L6,convenient,,
336_L6,conversation,1451_l29,conversation
337_L6,cook,283_l5,cook
338_L6,cookie,282_l5,cookie
338_L6,cookie,843_l16,cookie
339_L6,cool,285_l5,cool
340_L6,copy,,
341_L6,corner,965_l19,corner
342_L6,correct,307_l6,correct
342_L6,correct,1194_l24,correct
343_L6,cost,1632_l32,cost
344_L6,costume,1634_l32,costume
345_L7,cotton,,
346_L7,cough,1027_l20,cough
347_L7,could,597_l11,could
348_L7,count,15_l1,count
349_L7,country,12_l1,country
350_L7,couple,18_l1,couple
351_L7,courage,,
352_L7,course,19_l1,course
353_L7,court,,
354_L7,cousin,20_l1,cousin
355_L7,cover,788_l15,cover
356_L7,cow,829_l16,cow
357_L7,crazy,738_l14,crazy
358_L7,cream,,
359_L7,create,,
360_L7,creative,,
361_L7,creature,,
362_L7,criticize,,
363_L7,cross,1313_l26,cross
364_L7,crowd,831_l16,crowd
365_L7,cruel,,
366_L7,cry,1336_l27,cry
367_L7,culture,1426_l28,culture
368_L7,cup,,
369_L7,cupboard,,
370_L7,custom,,
371_L7,cut,,
372_L7,cute,,
373_L7,dad,,
374_L7,daily,1683_l33,daily
375_L7,dance,,
376_L7,danger,694_l13,danger
377_L7,dangerous,695_l13,dangerous
378_L7,dare,581_l11,dare
379_L7,dark,582_l11,dark
380_L7,date,83_l2,date
381_L7,daughter,,
382_L7,day,1100_l22,day
383_L7,dead,143_l3,dead
384_L7,deaf,142_l3,deaf
385_L7,deal,145_l3,deal
386_L7,dear,146_l3,dear
387_L7,death,144_l3,death
388_L7,December,806_l15,December
389_L7,decide,,
390_L7,deep,223_l4,deep
391_L7,degree,1744_l34,degree
392_L7,delicious,,
393_L7,dentist,,
394_L7,department,662_l12,department
395_L7,depend,486_l9,depend
396_L7,describe,1148_l23,describe
397_L7,design,1146_l23,design
398_L7,desk,1145_l23,desk
399_L7,dessert,,
400_L7,destroy,1150_l23,destroy
401_L7,develop,,
402_L8,dialogue,,
403_L8,diary,,
404_L8,dictionary,1089_l22,dictionary
405_L8,die,1720_l34,die
406_L8,diet,,
407_L8,difference,1362_l27,difference
408_L8,difficult,1363_l27,difficult
409_L8,dig,1353_l27,dig
410_L8,dinner,,
411_L8,direct,305_l6,direct
412_L8,dirty,1018_l20,dirty
413_L8,disabled,,
414_L8,disadvantage,,
415_L8,disappointing,,
416_L8,discover,789_l15,discover
417_L8,discovery,790_l15,discovery
418_L8,discuss,,
419_L8,discussion,,
420_L8,disease,,
421_L8,dish,22_l1,dish
422_L8,dislike,678_l13,dislike
423_L8,dismiss,,
424_L8,display,,
425_L8,distance,,
426_L8,district,,
427_L8,disturb,,
428_L8,divide,464_l8,divide
429_L8,do,,
430_L8,doctor,1322_l26,doctor
431_L8,documentary,,
432_L8,dog,,
433_L8,doll,1691_l33,doll
434_L8,dollar,1692_l33,dollar
435_L8,donate,,
436_L8,door,116_l3,door
437_L8,dormitory,,
438_L8,double,1143_l23,double
439_L8,doubt,,
440_L8,down,,
441_L8,dozen,,
442_L8,draw,1333_l27,draw
443_L8,dream,,
444_L8,dress,333_l6,dress
444_L8,dress,339_l6,dress
445_L8,drink,764_l14,drink
446_L8,drive,465_l8,drive
447_L8,drop,1335_l27,drop
448_L8,drug,,
449_L8,drum,1334_l27,drum
449_L8,drum,1704_l33,drum
450_L8,dry,1332_l27,dry
451_L8,duck,1585_l31,duck
452_L8,dull,1690_l33,dull
453_L8,dumpling,1166_l24,dumpling
454_L8,during,1703_l33,during
455_L8,duty,1420_l28,duty
456_L8,each,157_l3,each
457_L8,ear,766_l15,ear
458_L8,early,767_l15,early
459_L8,earth,773_l15,earth
460_L9,earthquake,774_l15,earthquake
461_L9,easily,,
462_L9,east,137_l3,east
463_L9,eastern,,
464_L9,easy,139_l3,easy
465_L9,eat,,
466_L9,edge,1175_l24,edge
467_L9,educate,,
468_L9,effort,,
469_L9,egg,,
470_L9,eight,233_l4,eight
471_L9,eighteen,234_l4,eighteen
472_L9,eighteenth,,
473_L9,eighth,236_l4,eighth
474_L9,eighty,235_l4,eighty
475_L9,either,106_l2,either
476_L9,elbow,,
477_L9,elder,1441_l29,elder
478_L9,electric,,
479_L9,elementary,,
480_L9,elephant,,
481_L9,elevator,,
482_L9,eleven,1275_l26,eleven
483_L9,eleventh,,
484_L9,else,,
485_L9,embarrassed,,
486_L9,emotion,,
487_L9,empty,1381_l28,empty
488_L9,encourage,,
489_L9,end,481_l9,end
490_L9,enemy,1382_l28,enemy
491_L9,energy,1383_l28,energy
492_L9,engineer,96_l2,engineer
493_L9,England,,
494_L9,English,361_l7,English
495_L9,enjoy,1378_l28,enjoy
496_L9,enough,,
497_L9,enter,,
498_L9,entertainment,,
499_L9,envelope,,
500_L9,environment,,
501_L9,equipment,,
502_L9,eraser,,
503_L9,escalator,,
504_L9,escape,,
505_L9,especially,,
506_L9,essay,,
507_L9,establish,,
508_L9,etiquette,,
509_L9,Europe,,
510_L9,European,,
511_L9,even,1271_l26,even
512_L9,evening,1276_l26,evening
513_L9,ever,778_l15,ever
514_L9,every,781_l15,every
515_L9,everybody,782_l15,everybody
516_L9,everyday,,
517_L10,everyone,,
518_L10,everything,783_l15,everything
519_L10,everywhere,784_l15,everywhere
520_L10,exam,1538_l31,exam
521_L10,examine,,
522_L10,example,1539_l31,example
523_L10,excellent,1507_l30,excellent
524_L10,except,1506_l30,except
525_L10,exchange,,
526_L10,excite,1502_l30,excite
527_L10,excuse,130_l3,excuse
528_L10,exercise,1505_l30,exercise
529_L10,exhibition,,
530_L10,expect,1180_l24,expect
531_L10,expensive,1183_l24,expensive
532_L10,experience,1182_l24,experience
533_L10,experiment,,
534_L10,explain,862_l17,explain
535_L10,express,345_l6,express
536_L10,extra,,
537_L10,eye,,
538_L10,face,1618_l32,face
539_L10,fact,1565_l31,fact
540_L10,fail,1643_l32,fail
541_L10,fair,1642_l32,fair
542_L10,fall,1657_l32,fall
543_L10,family,,
544_L10,famous,1058_l21,famous
545_L10,fan,1408_l28,fan
546_L10,fantastic,,
547_L10,far,54_l2,far
548_L10,farm,57_l2,farm
549_L10,farmer,59_l2,farmer
550_L10,fashion,,
551_L10,fast,169_l3,fast
551_L10,fast,1706_l34,fast
552_L10,fat,1705_l34,fat
553_L10,father,216_l4,father
554_L10,favorite,,
555_L10,fax,1407_l28,fax
556_L10,fear,,
557_L10,feature,,
558_L10,February,1090_l22,February
559_L10,feed,1735_l34,feed
560_L10,feel,1736_l34,feel
561_L10,fence,,
562_L10,festival,1152_l23,festival
563_L10,fetch,,
564_L10,fever,,
565_L10,few,,
566_L10,fiction,,
567_L10,field,,
568_L10,fifteen,996_l20,fifteen
569_L10,fifteenth,,
570_L10,fifth,998_l20,fifth
571_L10,fifty,997_l20,fifty
572_L10,fight,256_l5,fight
573_L10,fill,,
574_L10,film,,
575_L11,final,,
576_L11,find,1673_l33,find
577_L11,fine,1671_l33,fine
578_L11,finger,,
579_L11,finish,21_l1,finish
580_L11,fire,311_l6,fire
581_L11,firm,,
582_L11,first,,
583_L11,fish,23_l1,fish
583_L11,fish,924_l18,fish
584_L11,fit,1406_l28,fit
585_L11,five,460_l8,five
585_L11,five,995_l20,five
586_L11,fix,1405_l28,fix
587_L11,flag,,
588_L11,flat,,
589_L11,flee,,
590_L11,flight,246_l4,flight
591_L11,floor,299_l5,floor
592_L11,flower,459_l8,flower
593_L11,flu,,
594_L11,fly,,
595_L11,fold,,
596_L11,follow,823_l16,follow
597_L11,food,292_l5,food
597_L11,food,296_l5,food
598_L11,fool,278_l5,fool
599_L11,foot,297_l5,foot
600_L11,football,298_l5,football
601_L11,for,1390_l28,for
602_L11,forbid,,
603_L11,force,,
604_L11,foreign,1394_l28,foreign
605_L11,forest,9_l1,forest
606_L11,forget,1396_l28,forget
607_L11,fork,1773_l34,fork
608_L11,form,1263_l25,form
608_L11,form,1775_l34,form
609_L11,forty,198_l4,forty
610_L11,forward,1391_l28,forward
611_L11,found,33_l1,found
612_L11,four,196_l4,four
613_L11,fourteen,197_l4,fourteen
614_L11,fourteenth,,
615_L11,fourth,199_l4,fourth
616_L11,fox,1409_l28,fox
617_L11,France,,
618_L11,free,1745_l34,free
619_L11,freeze,1748_l34,freeze
620_L11,French,,
621_L11,fresh,,
622_L11,Friday,1172_l24,Friday
623_L11,fridge,1171_l24,fridge
624_L11,friend,477_l9,friend
625_L11,friendship,478_l9,friendship
626_L11,frog,1402_l28,frog
627_L11,from,1399_l28,from
628_L11,front,1400_l28,front
629_L11,fruit,1401_l28,fruit
630_L11,frustrate,1233_l25,frustrate
631_L11,fry,,
632_L12,full,1688_l33,full
633_L12,fun,,
634_L12,funny,,
635_L12,furniture,,
636_L12,furry,,
637_L12,future,1425_l28,future
638_L12,gallery,,
639_L12,game,1259_l25,game
640_L12,garage,,
641_L12,gate,86_l2,gate
642_L12,general,,
643_L12,gentle,,
644_L12,gentleman,,
645_L12,get,,
646_L12,gift,755_l14,gift
647_L12,girl,,
648_L12,girlfriend,,
649_L12,give,461_l8,give
650_L12,glad,917_l18,glad
651_L12,glass,,
652_L12,globe,798_l15,globe
653_L12,glove,799_l15,glove
654_L12,glue,,
655_L12,go,,
656_L12,goat,503_l9,goat
657_L12,god,,
658_L12,gold,473_l9,gold
659_L12,golden,474_l9,golden
660_L12,good,,
661_L12,goodbye,,
662_L12,government,786_l15,government
663_L12,grade,1237_l25,grade
663_L12,grade,1559_l31,grade
664_L12,graduate,,
665_L12,grammar,,
666_L12,grandchild,,
667_L12,grape,1558_l31,grape
668_L12,grass,,
669_L12,gray,,
670_L12,great,330_l6,great
671_L12,green,326_l6,green
672_L12,greet,328_l6,greet
673_L12,ground,37_l1,ground
674_L12,group,30_l1,group
675_L12,grow,,
676_L12,guard,,
677_L12,guess,880_l17,guess
678_L12,guest,,
679_L12,guide,652_l12,guide
680_L12,guidebook,653_l12,guidebook
681_L12,guilty,,
682_L12,gum,,
683_L12,gun,,
684_L12,guy,1581_l31,guy
685_L12,gym,,
686_L12,habit,904_l18,habit
687_L12,habitat,,
688_L12,hair,1645_l32,hair
689_L12,haircut,1646_l32,haircut
690_L13,half,,
691_L13,hall,519_l9,hall
692_L13,hallway,,
693_L13,ham,,
694_L13,hamburger,,
695_L13,hand,,
696_L13,handbag,,
697_L13,handsome,,
698_L13,hang,,
699_L13,happen,1213_l25,happen
700_L13,happy,1214_l25,happy
701_L13,hard,322_l6,hard
702_L13,hardly,324_l6,hardly
703_L13,hat,85_l2,hat
704_L13,hate,84_l2,hate
705_L13,have,82_l2,have
706_L13,he,,
707_L13,head,183_l4,head
708_L13,headache,184_l4,headache
709_L13,health,187_l4,health
710_L13,hear,,
711_L13,heart,1675_l33,heart
712_L13,heat,182_l4,heat
713_L13,heaven,,
714_L13,heavy,190_l4,heavy
715_L13,heel,,
716_L13,height,238_l4,height
717_L13,helicopter,,
718_L13,hello,,
719_L13,help,,
720_L13,helpful,,
721_L13,hen,572_l10,hen
722_L13,her,261_l5,her
723_L13,here,265_l5,here
724_L13,hero,264_l5,hero
725_L13,hers,263_l5,hers
726_L13,hey,573_l10,hey
727_L13,hide,672_l13,hide
728_L13,high,237_l4,high
728_L13,high,676_l13,high
729_L13,hill,,
730_L13,him,1184_l24,him
731_L13,himself,1185_l24,himself
732_L13,his,1560_l31,his
733_L13,hit,1187_l24,hit
734_L13,hobby,859_l16,hobby
735_L13,hold,1224_l25,hold
736_L13,hole,1221_l25,hole
737_L13,holiday,1102_l22,holiday
738_L13,home,1769_l34,home
739_L13,homeland,,
740_L13,homeless,,
741_L13,hometown,1771_l34,hometown
742_L13,homework,1770_l34,homework
743_L13,honest,,
744_L13,honey,,
745_L13,honor,,
746_L14,hope,1223_l25,hope
747_L14,horse,,
748_L14,hospital,,
749_L14,host,,
750_L14,hot,,
751_L14,hotel,,
752_L14,hour,201_l4,hour
753_L14,house,,
754_L14,housework,,
755_L14,how,825_l16,how
756_L14,however,828_l16,however
757_L14,huge,,
758_L14,hum,,
759_L14,human,367_l7,human
760_L14,humorous,,
761_L14,hundred,,
762_L14,hunger,,
763_L14,hungry,693_l13,hungry
764_L14,hurry,,
765_L14,hurt,,
766_L14,husband,,
767_L14,I,,
768_L14,ice,588_l11,ice
769_L14,idea,149_l3,idea
770_L14,if,,
771_L14,ill,1516_l30,ill
772_L14,illness,,
773_L14,imagine,,
774_L14,immediately,,
775_L14,impolite,,
776_L14,importance,,
777_L14,important,,
778_L14,impossible,1317_l26,impossible
779_L14,impress,342_l6,impress
780_L14,improve,1592_l31,improve
781_L14,include,,
782_L14,increase,,
783_L14,India,,
784_L14,indoors,,
785_L14,industry,,
786_L14,infinitive,,
787_L14,influence,,
788_L14,information,1265_l25,information
789_L14,injure,,
790_L14,ink,,
791_L14,insect,1177_l24,insect
792_L14,inside,427_l8,inside
793_L14,insist,,
794_L14,instance,,
795_L14,instead,,
796_L14,instruction,,
797_L14,instrument,,
798_L14,interest,1281_l26,interest
799_L14,international,1285_l26,international
800_L14,Internet,,
801_L14,interview,1286_l26,interview
802_L14,into,1111_l22,into
803_L15,introduce,1070_l21,introduce
804_L15,invent,1278_l26,invent
805_L15,invite,907_l18,invite
806_L15,iron,,
807_L15,is,,
808_L15,island,,
809_L15,it,926_l18,it
810_L15,its,927_l18,its
811_L15,itself,928_l18,itself
812_L15,jacket,407_l7,jacket
813_L15,January,,
814_L15,Japan,945_l19,Japan
815_L15,jazz,,
816_L15,jeans,,
817_L15,Jew,,
818_L15,job,853_l16,job
819_L15,join,854_l16,join
820_L15,joke,842_l16,joke
821_L15,joy,,
822_L15,juice,591_l11,juice
823_L15,July,1095_l22,July
824_L15,jump,1168_l24,jump
825_L15,June,1094_l22,June
826_L15,jungle,,
827_L15,junk,,
828_L15,just,1415_l28,just
829_L15,kangaroo,,
830_L15,keen,,
831_L15,keep,228_l4,keep
832_L15,key,,
833_L15,kick,,
834_L15,kid,1678_l33,kid
835_L15,kill,1519_l30,kill
836_L15,kilo,1520_l30,kilo
837_L15,kilometer,1522_l30,kilometer
838_L15,kind,1674_l33,kind
839_L15,king,,
840_L15,kiss,,
841_L15,kitchen,903_l18,kitchen
842_L15,kite,902_l18,kite
843_L15,knee,,
844_L15,knife,758_l14,knife
845_L15,knock,404_l7,knock
846_L15,know,171_l4,know
847_L15,lab,,
848_L15,labor,,
849_L15,laboratory,,
850_L15,lady,916_l18,lady
851_L15,lake,509_l9,lake
852_L15,lamb,1665_l33,lamb
853_L15,lamp,1664_l33,lamp
854_L15,language,,
855_L15,lap,1452_l29,lap
856_L15,large,1116_l23,large
857_L15,last,1707_l34,last
858_L15,late,535_l10,late
859_L16,later,538_l10,later
860_L16,latest,537_l10,latest
861_L16,laugh,1023_l20,laugh
862_L16,law,,
863_L16,lay,636_l12,lay
864_L16,lazy,637_l12,lazy
865_L16,lead,150_l3,lead
866_L16,leaf,147_l3,leaf
867_L16,learn,,
868_L16,least,141_l3,least
869_L16,leave,1513_l30,leave
870_L16,left,1470_l29,left
871_L16,leg,1469_l29,leg
872_L16,legend,,
873_L16,lend,484_l9,lend
874_L16,less,61_l2,less
875_L16,lesson,62_l2,lesson
876_L16,let,1471_l29,let
877_L16,letter,1566_l31,letter
878_L16,level,,
879_L16,library,1087_l22,library
880_L16,license,,
881_L16,lie,756_l14,lie
882_L16,life,750_l14,life
883_L16,lifestyle,,
884_L16,lift,754_l14,lift
885_L16,light,241_l4,light
886_L16,lighting,,
887_L16,like,677_l13,like
888_L16,line,562_l10,line
889_L16,lion,,
890_L16,list,,
891_L16,listen,,
892_L16,little,1574_l31,little
893_L16,live,564_l10,live
894_L16,local,,
895_L16,lock,398_l7,lock
896_L16,London,1038_l21,London
897_L16,lonely,73_l2,lonely
898_L16,long,76_l2,long
899_L16,look,,
900_L16,lookout,,
901_L16,lose,,
902_L16,lost,,
903_L16,lot,,
904_L16,loud,812_l15,loud
905_L16,love,796_l15,love
906_L16,loving,,
907_L16,low,816_l16,low
908_L16,luck,1582_l31,luck
909_L16,lunch,1019_l20,lunch
910_L16,machine,,
911_L16,mad,1031_l21,mad
912_L16,madam,1032_l21,madam
913_L16,magazine,,
914_L16,magic,,
915_L16,mail,685_l13,mail
916_L16,main,681_l13,main
917_L17,major,,
918_L17,make,511_l9,make
919_L17,mall,,
920_L17,man,363_l7,man
921_L17,manage,720_l14,manage
922_L17,manner,,
923_L17,many,976_l20,many
923_L17,many,1034_l21,many
924_L17,map,1033_l21,map
925_L17,marathon,,
926_L17,march,,
927_L17,mark,,
928_L17,market,,
929_L17,marriage,,
930_L17,marry,448_l8,marry
931_L17,Mars,,
932_L17,master,,
933_L17,match,458_l8,match
934_L17,material,,
935_L17,math/maths,,
936_L17,matter,1571_l31,matter
937_L17,may,,
938_L17,maybe,891_l17,maybe
939_L17,me,,
940_L17,meal,44_l1,meal
941_L17,mean,41_l1,mean
942_L17,meaning,42_l1,meaning
943_L17,meat,43_l1,meat
944_L17,medal,,
945_L17,medical,,
946_L17,medicine,,
947_L17,medium,,
948_L17,meet,45_l1,meet
949_L17,meeting,46_l1,meeting
950_L17,member,803_l15,member
951_L17,memory,801_l15,memory
952_L17,mend,369_l7,mend
953_L17,mention,358_l7,mention
954_L17,menu,368_l7,menu
955_L17,mess,,
956_L17,message,1756_l34,message
957_L17,metal,1523_l30,metal
958_L17,meter,1521_l30,meter
959_L17,method,,
960_L17,microwave,,
961_L17,middle,429_l8,middle
962_L17,might,625_l11,might
963_L17,mile,,
964_L17,milk,359_l7,milk
965_L17,million,,
966_L17,mind,569_l10,mind
967_L17,mine,568_l10,mine
968_L17,minute,,
969_L17,mirror,,
970_L17,misleading,,
971_L17,miss,,
972_L17,mistake,,
973_L17,mix,,
974_L18,mixture,,
975_L18,model,844_l16,model
976_L18,modern,846_l16,modern
977_L18,modest,,
978_L18,mom,,
979_L18,moment,,
980_L18,Monday,,
981_L18,money,,
982_L18,monkey,,
983_L18,monster,,
984_L18,month,,
985_L18,moon,247_l4,moon
986_L18,more,388_l7,more
987_L18,morning,,
988_L18,most,,
989_L18,mother,104_l2,mother
990_L18,mountain,14_l1,mountain
991_L18,mouse,,
992_L18,mouth,140_l3,mouth
993_L18,move,793_l15,move
994_L18,movie,794_l15,movie
995_L18,much,1022_l20,much
996_L18,museum,1414_l28,museum
997_L18,music,1412_l28,music
998_L18,musician,1413_l28,musician
999_L18,must,1411_l28,must
1000_L18,my,,
1001_L18,myself,921_l18,myself
