方向,前缀序号,前缀,前缀含义,需背记,单词,音标,中文释义,词根词缀拆解
程度方向,5,"com-(co-, col-, con-, cor-)",一起；完全（有时还可以表示加强词义）,,compress,/k?m?pr?s/,v. 压缩；简缩（文字、描述等）；压缩（时间）,前缀com-一起+press压→压到一起→压缩
程度方向,5,"com-(co-, col-, con-, cor-)",一起；完全（有时还可以表示加强词义）,1,complete,/k?m?pli?t/,adj. 完全的；整个的；完整的；全部的（作品） v. 使齐全；完成,前缀com-完全+plet装满+e→全部装满→完成
程度方向,5,"com-(co-, col-, con-, cor-)",一起；完全（有时还可以表示加强词义）,,concentrate,/?k?ns?n?tre?t/,v. 集中（心思），专心；集中,前缀 con-一起+centr 中心+后缀-ate 表示动词，“使……”→使大家一起到中心来→集中
程度方向,5,"com-(co-, col-, con-, cor-)",一起；完全（有时还可以表示加强词义）,,contest,/?k?ntest/,n. 竞赛，比赛；争夺 v. 对……提出抗辩；参加（竞选或比赛）,前缀con-一起+test测试
程度方向,5,"com-(co-, col-, con-, cor-)",一起；完全（有时还可以表示加强词义）,,coexist,/?k???ɡ?z?st/,v. 共存,前缀co-一起+exist存在
程度方向,5,"com-(co-, col-, con-, cor-)",一起；完全（有时还可以表示加强词义）,,collect,/k??lekt/,v. 采集，收集；收集（邮票或书等）；积聚；聚集（光、能量或热量等）；募捐,前缀col-一起+lect收集→收集到一起
程度方向,5,"com-(co-, col-, con-, cor-)",一起；完全（有时还可以表示加强词义）,,correct,/k??r?kt/,adj. 正确的；合适的，恰当的 v. 纠正；批改,前缀cor-完全+rect画直线→全部都直了→纠正
程度方向,6,"syn-(sym-, syl-, sy-)",一起；共同,,system,/?s?st?m/,n. 体制；系统；（水管或电线等的）系统；网络；身体系统；（计算或测量用的）体系,前缀sy-一起+st站立+em→（零件）站立到一起（形成系统）
程度方向,6,"syn-(sym-, syl-, sy-)",一起；共同,1,symphony,/?s?mf?n?/,n. 交响乐,前缀sym-一起+phon声音+后缀-y表示名词→声音一起响
程度方向,6,"syn-(sym-, syl-, sy-)",一起；共同,1,sympathy,/?s?mp?θ?/,n. 同情；赞同；支持,前缀sym-共同+path感情+后缀-y表示名词→共同的感情
程度方向,6,"syn-(sym-, syl-, sy-)",一起；共同,1,synergy,/?s?n?d??/,n. 协同作用,前缀syn-共同+erg工作+后缀-y表示名词→共同工作
程度方向,7,micro-,小的；微小的（在术语中还可以表示“百万分之一”）,,microwave,/?ma?kr???we?v/,n. 微波炉 v. 用微波炉（烹调或加热）,前缀micro-微小的+wave波
程度方向,7,micro-,小的；微小的（在术语中还可以表示“百万分之一”）,,microphone,/?ma?kr??f??n/,n. 麦克风,前缀micro-小的+phone电话
程度方向,7,micro-,小的；微小的（在术语中还可以表示“百万分之一”）,,microcopy,/?ma?kr???k?p?/,n. 缩微本,前缀micro-微小的+copy复制品
程度方向,7,micro-,小的；微小的（在术语中还可以表示“百万分之一”）,,microeconomics,"/?ma?kr???i?k??n?m?ks, -??k?-/",n. 微观经济学,前缀micro-微小的+economics经济学
程度方向,8,macro-,大的；长的；宏大的,,macrophysics,/?m?kr???f?z?ks/,n. 宏观物理学,前缀macro-宏大的+ physics物理学
程度方向,8,macro-,大的；长的；宏大的,,macroclimate,/?m?kr???kla?m?t/,n. 大气候,前缀macro-大的+ climate气候
程度方向,8,macro-,大的；长的；宏大的,,macrobiotics,/?m?kr??ba???t?ks/,n. 长寿饮食法,前缀macro-长的+bio生命+-t-+后缀-ics表示名词，“学”→关于获得长命的学问
程度方向,8,macro-,大的；长的；宏大的,,macroeconomics,"/?m?kr???i?k??n?m?ks, -??k-/",n. 宏观经济学,前缀macro-宏大的+ economics经济学
程度方向,9,"maxi-(maj-, magn-)",大的,,maximum,/?m?ks?m?m/,adj. 最大的 n. 最大值,前缀maxi-大的+-m-+um
程度方向,9,"maxi-(maj-, magn-)",大的,,maximize,/?m?ks??ma?z/,v. 使增加到最大限度，充分重视；使（计算机屏幕上的窗口）最大化,前缀maxi-大的+-m-+后缀-ize表示动词，“使……化”
程度方向,9,"maxi-(maj-, magn-)",大的,,major,/?me?d??/,adj. 主要的，重大的；（音乐）大调的n. 少校；专业 v. 以……为专业,前缀maj-大的+后缀-or表示名词，“人或物”
程度方向,9,"maxi-(maj-, magn-)",大的,1,magnify,/?m?ɡn??fa?/,v. 放大；增大；夸大,前缀magn大的+后缀-ify表示动词，“使……化”
程度方向,10,over-,越过；过度,,overhead,/???v?hed/,adj. 头顶上的 adv. 在头顶,前缀over-越过+head头
程度方向,10,over-,越过；过度,,overcome,/???v??k?m/,v. 克服；困扰,前缀over-越过+come来
程度方向,10,over-,越过；过度,,overactive,/???v?r??kt?v/,adj. 过于活跃的,前缀over-过度+active活跃的
程度方向,10,over-,越过；过度,,overuse,/???v??ju?z/,v. 过度使用；滥用 n. 过度使用,前缀over-过度+use使用
程度方向,11,under-,在……之下；低于……；不足,,underground,/??nd??ɡra?nd/,adv. 在地下；秘密地 adj. 地下的；私密的 n. 地铁,前缀under-在……之下+ground地面
程度方向,11,under-,在……之下；低于……；不足,1,underwear,/??nd??w??/,n. 内衣,前缀under-在……之下+wear服装
程度方向,11,under-,在……之下；低于……；不足,,underage,/??nd?r?e?d?/,adj.（人）未到法定年龄的；（行为）未到法定年龄的,前缀under-低于+age年龄
程度方向,11,under-,在……之下；低于……；不足,,underdeveloped,/??nd?d??v?l?pt/,adj. 不发达的,前缀 under-不足+develop 发展+后缀-ed 表示形容词，“被……的”→发展不足的→不发达的
程度方向,12,out-,外；出；超过,,outbreak,/?a?t?bre?k/,n. （暴动、疾病等的）爆发,前缀out-外+break破碎→向外破碎→爆发
程度方向,12,out-,外；出；超过,1,outcome,/?a?t?k?m/,n. 结果,前缀out-出+come来→出来的结果
程度方向,12,out-,外；出；超过,,outdoors,/?a?t?d??z/,adv. 在户外 n. 户外活动,前缀out-外+door门+-s构成复数形式
程度方向,12,out-,外；出；超过,1,outdo,/?a?t?du?/,v. 超过,前缀out-超过+do做→做事超出
程度方向,13,ultra-,过度；极端,1,ultraviolet,/??ltr??va??l?t/,adj. 紫外的,前缀ultra-过度+ violet紫色→光谱紫端之外的不可见光
程度方向,13,ultra-,过度；极端,,ultrasound,/??ltr??sa?nd/,n. 超声波,前缀ultra-过度+sound声音
程度方向,13,ultra-,过度；极端,,ultramodern,/??ltr??m?d?n/,adj. 超现代的,前缀ultra-过度+modern现代的
程度方向,13,ultra-,过度；极端,,ultrastructure,/??ltr??str?kt??/,n. 超微结构,前缀ultra-极端+structure结构
程度方向,14,sur-,超过；在……上,1,surpass,/s???pɑ?s/,v. 优于，超过；远远超出（预期）,前缀sur-超过+pass经过
程度方向,14,sur-,超过；在……上,,surface,/?s??f?s/,n. 表面；台面 v. 浮出水面；显现,前缀sur-在……上+face脸
程度方向,14,sur-,超过；在……上,,surname,/?s???ne?m/,n. 姓,前缀sur-在……上+name名字
程度方向,14,sur-,超过；在……上,1,surcoat,/?s???k??t/,n. 束腰上装,前缀sur-在……上+coat外套
程度方向,15,extra-,在……外；超出,,extraordinary,/?k?str??d?nr?/,adj. 非凡的；非同寻常的；特别的（会议）,前缀extra-超出+ordinary普通的
程度方向,15,extra-,在……外；超出,1,extrasolar,/??kstr??s??l?/,adj. 太阳系以外的,前缀extra-在……之外+solar太阳的
程度方向,15,extra-,在……外；超出,1,extracurricular,/??kstr?k??r?kj?l?/,adj. 课外的；工余的,前缀extra-在……之外+curricular课程的
程度方向,15,extra-,在……外；超出,1,extranuclear,/??kstr??nju?kl??/,adj. 核外的,前缀extra-在……之外+nuclear核的
物理方向,16,pre-,前,,preface,/?pr?f?s/,n. 前言 v. 说……作为开场白，做……作为开始,前缀pre-前+face脸
物理方向,16,pre-,前,,prehistory,/pri??h?st?r?/,n. 史前时期,前缀pre-前+history历史
物理方向,16,pre-,前,1,prejudge,/pri??d??d?/,v. （在了解事实前）仓促判断，过早判断,前缀pre-前+judge判断
物理方向,16,pre-,前,,prefix,/?pri?f?ks/,n. 前缀；前置代码,前缀pre-前+fix固定
物理方向,17,pro-,向前；亲，赞成,,progress,/?pr??ɡres/,n. 进步；进展 v. 进展；继续进行；使……发展,前缀pro-向前+gress迈步→向前迈步
物理方向,17,pro-,向前；亲，赞成,,project,/?pr?d?ekt/,n. 项目；课题 v. 计划，预计；（以某种方式）呈现；投映；突出,前缀pro-向前+ject投掷→向前投掷→计划，项目
物理方向,17,pro-,向前；亲，赞成,1,prolong,/pr??l? /,v. 延长,前缀pro-向前+long长的
物理方向,17,pro-,向前；亲，赞成,,pro-British,/?pr??br?t??/,adj. 亲英的,前缀pro-亲，赞成+British英国的
物理方向,18,re-,回；再次,,react,/r???kt/,v. 做出反应；反抗；（对药物或其他所触碰的东西等）起不良反应,前缀re-回+act做→做出回应
物理方向,18,re-,回；再次,,review,/r??vju?/,n. （上级的）审查；评论；复习 v. 审裁，审度；对（新作品）作评论；复习,前缀re-回+view看
物理方向,18,re-,回；再次,,re-act,/ri???kt/,v. 重演,前缀re-再次+act表演→重演（加连字符是与同形不同义的单词react相区别）
物理方向,18,re-,回；再次,,retry,/ri??tra?/,v. 再试（已决定的案子），给予新的审理,re-再次+try尝试
物理方向,19,ante-,前,,antetype,/??nt??ta?p/,n. 前型；原型,前缀ante-前+type类型
物理方向,19,ante-,前,,antedate,/??nti?de?t/,v. 先于 n. 早前的日期,前缀ante-前+date日期
物理方向,19,ante-,前,,anteroom,/??nt??ru?m/,n. 前厅,前缀ante-前+room房间
物理方向,19,ante-,前,,antecedent,/??nt??si?d?nt/,n. 先例,前缀ante-前+ced走+后缀-ent表示名词，“人或物”→走在前面的
物理方向,20,post-,后,,postdate,/p??st?de?t/,v. （在文件上）写上未来日期,前缀post-后+date日期
物理方向,20,post-,后,,postdoctoral,/p??st?d?kt?r?l/,adj. 博士后的,前缀post-后+doctor博士+后缀-al表示形容词
物理方向,20,post-,后,,postwar,/?p??st?w??/,adj. （尤指二战）战后的,前缀post-后+war战争
物理方向,20,post-,后,,postmodern,/p??st?m?d?n/,adj. 后现代主义的；后现代派的,前缀post-后+modern现代的
物理方向,21,fore-,前,,forefoot,/?f???f?t/,n.（四脚动物的）两只前脚,前缀fore-前+foot脚
物理方向,21,fore-,前,,forehead,"/?f?r?d, ?f???h?d/",n. 前额,前缀fore-前+head头
物理方向,21,fore-,前,,foresee,/f???si?/,v. 预见,前缀fore-前+see看见
物理方向,21,fore-,前,,foretell,/f???t?l/,v. 预言,前缀fore-前+tell告诉
物理方向,22,super-,超,,supermarket,/?su?p??mɑ?k?t/,n. 超市,前缀super-超+market市场
物理方向,22,super-,超,,superman,/?su?p??m?n/,n. 超人,前缀super-超+man人
物理方向,22,super-,超,,superstar,/?su?p??stɑ?/,n. 超级明星,前缀super-超+star明星
物理方向,22,super-,超,,superhighway,/?su?p??ha?we?/,n. 高速公路；（信息）高速公路,前缀super-超+highway（城市间的）公路
物理方向,23,"sub-(suc-, suf-, etc.)",在……下,,subway,/?s?b?we?/,n. 地铁；地下通道,前缀sub-在……下+way道路
物理方向,23,"sub-(suc-, suf-, etc.)",在……下,1,subculture,/?s?bk?lt??/,n. 亚文化,前缀sub-在……下+culture文化
物理方向,23,"sub-(suc-, suf-, etc.)",在……下,1,subdivide,/?s?bd??va?d/,v. 使细分,前缀sub-在……下+divide分割
物理方向,23,"sub-(suc-, suf-, etc.)",在……下,1,succeed,/s?k?si?d/,v. （某人在做某事上）成功；（某事物）成功；（某人在政治、商业等方面）成功；接替；继……之后,前缀suc-在……下+ceed走→往下（继续）走→成功
物理方向,23,"sub-(suc-, suf-, etc.)",在……下,,suffix,/?s?f?ks/,n. 后缀,前缀suf-在……下+fix固定
物理方向,24,up-,向上；使……向上,,upstairs,/??p?st??z/,adv. 往楼上；在楼上 adj. 楼上的 n. 一楼以上的楼层,前缀up-向上+stairs楼梯
物理方向,24,up-,向上；使……向上,,update,/??p?de?t/,v. 更新；给……提供最新信息 n. 最新消息，快讯,前缀up-向上+date日期→最新日期，引申含义“更新”
物理方向,24,up-,向上；使……向上,,upland,"/??pl?nd, -l?nd/",adj. 位于高地的 n.（复数表示）高地,前缀up-向上+land土地
物理方向,24,up-,向上；使……向上,,uphold,/?p?h??ld/,v. 维护；维持（原判）,前缀up-使……向上+hold掌握
物理方向,25,inter-(intel-),互相；在……之间,,Internet,/??nt??n?t/,n. 国际互联网,前缀inter-互相+net网络
物理方向,25,inter-(intel-),互相；在……之间,1,interview,/??nt??vju?/,n. 面试；采访 v. 对……面试；采访；询问,前缀inter-互相+view看→互相看→面试，采访
物理方向,25,inter-(intel-),互相；在……之间,1,interact,/??nt?r??kt/,v. 相互交往；互动,前缀inter-互相+act做→在两者之间做→互动
物理方向,25,inter-(intel-),互相；在……之间,,international,/??nt??n???n?l/,adj.国际的,前缀inter-在……之间+ nation国家+后缀-al表示形容词→国家之间的
物理方向,25,inter-(intel-),互相；在……之间,1,intellect,/??nt??l?kt/,n. 智力；才智,前缀intel-在……中间+lect选择→懂得从中做出正确选择→智力
物理方向,26,"trans-(tran-, tra-)",穿越；改变,,transport,/tr?n?sp??t/,v. 运送 n. 交通工具；交通运输系统；运输,前缀trans-穿越+port运→让货物穿越各种路线运来运去
物理方向,26,"trans-(tran-, tra-)",穿越；改变,,transship,/tr?ns???p/,v. 转运,前缀trans-穿越+ship运送
物理方向,26,"trans-(tran-, tra-)",穿越；改变,,transform,/ tr?ns?f??m/,v. 使改变，使转换；彻底改变（使更好、更有吸引力）,前缀trans-改变+form形状→改变形状
物理方向,26,"trans-(tran-, tra-)",穿越；改变,,transplant,/?tr?nsplɑ?nt/,n.（器官）移植 v. 移植；移种，转移,前缀trans-改变+plant种植
物理方向,27,dia-(di-),通过；二者之间,1,diagram,/?da???ɡr?m/,n. 示意图,前缀dia-通过+gram书写符号→由穿行其间的线条构成的图形
物理方向,27,dia-(di-),通过；二者之间,1,diameter,/da???m?t?/,n. 直径,前缀dia-通过+meter用表测量
物理方向,27,dia-(di-),通过；二者之间,1,diagnose,/?da??ɡ?n??z/,v. 诊断,前缀dia-通过+gnos知道+e→通过（诊断）知道（关于身体的状况）
物理方向,27,dia-(di-),通过；二者之间,,dialogue,/?da???l?ɡ/,n. 对话；（书籍、影视、戏剧中的）对白,前缀dia-二者之间+logue说话→对话
物理方向,28,per-,通过；始终，完全；毁坏（仅在少数单词中有贬义的“毁坏”含义）,,permit,/p??m?t/,v. 允许；使成为可能，成为可能 n. 许可证,前缀per-通过+mit送→（允许）通关送走
物理方向,28,per-,通过；始终，完全；毁坏（仅在少数单词中有贬义的“毁坏”含义）,,perfect,/?p??f?kt/,adj. 完美的；最适合的；无瑕疵的 v. 使完美,前缀per-始终，完全+fect做→全部做好了→完美
物理方向,28,per-,通过；始终，完全；毁坏（仅在少数单词中有贬义的“毁坏”含义）,,perform,/p??f??m/,v. 做，执行（尤指复杂的任务或行动）；行使（某种功能）；演出，演奏；表现（好/不好）,前缀per-完全+form形成→彻底形成表现出来
物理方向,28,per-,通过；始终，完全；毁坏（仅在少数单词中有贬义的“毁坏”含义）,1,pervert,/p??v??t/,v. 使败坏 n. 变态的人,前缀per-毁坏+vert转→转向坏的一面
物理方向,29,se-(sed-),旁边；离开,,secret,/?si?kr?t/,adj. 秘密的；保密的 n. 秘密；秘诀；奥秘,前缀se-旁边+cret分离→被分到旁边去（不让人知道）
物理方向,29,se-(sed-),旁边；离开,,seduce,/s??dju?s/,v. 诱惑；勾引，诱奸,前缀se-旁边+duc引导+e→引到一边（图谋不轨）
物理方向,29,se-(sed-),旁边；离开,,select,/s??l?kt/,v. 挑选，选择；（在计算机屏幕上）选定（某文件或某段文章以作特别处理） adj. 精选的；第一流的，只为富人、上层人士而设的,前缀se-离开+lect挑选→从……挑选出来（带有排斥性）
物理方向,29,se-(sed-),旁边；离开,1,sedition,/s??d???n/,n. 煽动性言论，煽动性文章，煽动性行为,前缀sed-离开+it走+后缀-ion表示名词→分道扬镳
物理方向,30,ex-(ef-),向外；（与表示身份或职业的名词相结合表示）前任的,,export,/?k?sp??t/,v. 出口；引入他国；导出（文件、信息） n. 出口；出口品,前缀ex-向外+port港口→送出港口
物理方向,30,ex-(ef-),向外；（与表示身份或职业的名词相结合表示）前任的,,exit,"/??ɡz?t, ??ks?t/",n. 安全出口；（公路的）出口；离场；退场，退出 v. 离开；退出,前缀ex-向外+it走→走出去→出口
物理方向,30,ex-(ef-),向外；（与表示身份或职业的名词相结合表示）前任的,,effort,/??f?t/,n. 努力；吃力；有组织的活动；极难的事,前缀ef-向外+fort力量→向外使出力气
物理方向,30,ex-(ef-),向外；（与表示身份或职业的名词相结合表示）前任的,,ex-president,/?eks?prez?d?nt/,n. 前任总统,前缀ex-前任的+president总统
物理方向,31,"in-(im-, il-, ir-, etc.)",进入，里；不,,income,/??nk?m/,n. 收入,前缀in-进入，里+come来→（钱）进入口袋里
物理方向,31,"in-(im-, il-, ir-, etc.)",进入，里；不,,insure,/?n????/,v. 为……投保，投保；使预防,前缀in-进入，里+sure确定的
物理方向,31,"in-(im-, il-, ir-, etc.)",进入，里；不,,import,/?m?p??t/,v. 进口；导入 n. 进口；进口商品；重要性,前缀im-进入+port港口→从港口进入
物理方向,31,"in-(im-, il-, ir-, etc.)",进入，里；不,1,imprison,/?m?pr?z?n/,v. 监禁,前缀im-进入，里+prison监狱
物理方向,31,"in-(im-, il-, ir-, etc.)",进入，里；不,,inactive,/?n??kt?v/,adj. 不作为的；不起作用的,前缀in-不+active活跃的
物理方向,31,"in-(im-, il-, ir-, etc.)",进入，里；不,1,inhuman,/?n?hju?m?n/,adj. 不人道的，极其残酷的；非人类的，（不像人类所为而）怪异的,前缀in-不+human人的
物理方向,31,"in-(im-, il-, ir-, etc.)",进入，里；不,1,immovable,/??mu?v?b?l/,adj. 固定的,前缀im-不+movable可移动的
物理方向,31,"in-(im-, il-, ir-, etc.)",进入，里；不,,imbalance,/?m?b?l?ns/,n. 不平衡,前缀im-不+balance平衡
物理方向,31,"in-(im-, il-, ir-, etc.)",进入，里；不,,illegal,/??li?ɡ?l/,adj. 非法的；（移民）非法入境的，（工人）非法务工的 n. 非法移民，非法劳工,前缀il-不+legal合法的
物理方向,31,"in-(im-, il-, ir-, etc.)",进入，里；不,,irregular,/??r?ɡj?l?/,adj. 不规律的；不规则的，不平整的,前缀ir-不+regular规律的
否定方向,32,bene-,好,,benefit,/?b?n?f?t/,n. 益处，成效；好处；优势；福利；义演 n. 有益于，得益,前缀bene-好+fit做→做事的好处
否定方向,32,bene-,好,1,benevolent,/b??n?v?l?nt/,adj. 仁慈的,前缀bene-好+vol意志+后缀-ent表示形容词
否定方向,32,bene-,好,,benediction,/?b?n??d?k??n/,n. 祝福；祝福祷告,前缀bene-好+dict说+后缀-ion表示名词→说好话
否定方向,32,bene-,好,1,benefactor,/?b?n??f?kt?/,n. 捐助人,前缀bene-好+fact做+后缀-or表示名词，“人或物”
否定方向,33,mal-(male-),坏,,maltreat,/m?l?tri?t/,v. 虐待,前缀mal-坏+treat对待
否定方向,33,mal-(male-),坏,,malfunction,/m?l?f? k??n/,v. 出故障 n. 出故障,前缀mal-坏+function作用
否定方向,33,mal-(male-),坏,1,malformation,/?m?lf???me???n/,n. 畸形,mal-坏+formation形成→坏的形状
否定方向,33,mal-(male-),坏,1,malediction,/?m?l??d?k??n/,n. 诅咒,前缀male-（=mal-）坏+dict说+后缀-ion表示名词→说坏话
否定方向,34,mis-,坏的；错误的,,mistake,/m??ste?k/,n. 错误；错事 v. 误认为；误解,前缀mis-错误的+take拿
否定方向,34,mis-,坏的；错误的,,misunderstand,/?m?s?nd??st?nd/,v. 误解,前缀mis-错误的+understand理解
否定方向,34,mis-,坏的；错误的,,miscall,/?m?s?k??l/,v. 打错电话,前缀mis-错误的+ call打电话
否定方向,34,mis-,坏的；错误的,,misuse,/?m?s?ju?s/,n. 误用，滥用 v. 误用，滥用,前缀mis-坏的，错误的+ use用
否定方向,35,anti-(ant-),相反；反对,,Antarctic,/?nt?ɑ?kt?k/,n. 南极洲,前缀ant-相反+Arctic北极→与北极相反的
否定方向,35,anti-(ant-),相反；反对,,antibody,/??nt??b?d?/,n. 抗体,前缀anti-相反+body身体
否定方向,35,anti-(ant-),相反；反对,1,antiwar,/??nt??w??/,adj. 反战的,前缀anti-反对+war战争
否定方向,35,anti-(ant-),相反；反对,,antisocial,/??nt??s????l/,adj. 孤僻的,前缀anti-反对+social社交的
否定方向,36,contra-/counter-,相反；反对,1,contrary,/?k?ntr?r?/,adj. （观点、态度、反应）相对立的,前缀contra-相反+后缀-ary表示形容词
否定方向,36,contra-/counter-,相反；反对,,contradict,/?k?ntr??d?kt/,v. 反驳；与……矛盾,前缀contra-相反+dict说→反着说→反驳
否定方向,36,contra-/counter-,相反；反对,,contrast,/k?n?trɑ?st/,v. 对比（事物以指出不同点） n. 巨大的差别；（图片、电视画面、绘画中深浅的）对比度,前缀contra-相反+st站立→对立站着的→对比
否定方向,36,contra-/counter-,相反；反对,,contraposition,/?k?ntr?p??z???n/,n. 对置，对位，对照,前缀contra-相反+position位置
否定方向,36,contra-/counter-,相反；反对,,counterpart,/?ka?nt??pɑ?t/,n. 对应的人或物,前缀counter-相反+part角色→在另一处对应的人或物
否定方向,36,contra-/counter-,相反；反对,1,counteract,/?ka?nt?r??kt/,v. 对……起反作用，抵消,前缀counter-相反，反对+act行动→反着行动→起反作用
否定方向,36,contra-/counter-,相反；反对,1,counterclockwise,/?ka?nt??kl?k?wa?z/,adv. 逆时针方向地 adj. 逆时针方向的,前缀counter-相反+clock钟+后缀-wise表示形容词或副词，”像”
否定方向,36,contra-/counter-,相反；反对,,counterattack,/?ka?nt?r??t?k/,v. 反击 n. 反攻,前缀counter-相反+attack攻击
否定方向,37,ab-(abs-),不；反；离开,,abuse,/??bju?s/,n.虐待；辱骂；滥用 v. 虐待；侮辱；滥用,前缀ab-反+use使用
否定方向,37,ab-(abs-),不；反；离开,,abnormal,/?b?n??m?l/,adj. 异常的,前缀ab-离开+normal正常的
否定方向,37,ab-(abs-),不；反；离开,,abstract,/??bstr?kt/,adj. 抽象的；抽象的（名词）；抽象的（艺术） n. 抽象作品；摘要,前缀abs-离开+tract抽→抽离开（具体现象）→抽象的
否定方向,37,ab-(abs-),不；反；离开,1,absolve,/?b?z?lv/,v. 免除（责任）,前缀ab-离开+solv松开+e→把责任从身上松开
否定方向,38,"ob-(oc-, of-, op-)",反；向,,object,/??bd??kt/,n. 物体；目的；（某情感或反应的）对象；宾语 v. 反对,前缀ob-向+ject投掷→向那里投掷→物体；前缀ob-反+ject投掷→反过来投→反对
否定方向,38,"ob-(oc-, of-, op-)",反；向,,oppose,/??p??z/,v. 反对,前缀op-反+pos放+e→反着放的→反对，阻挠
否定方向,38,"ob-(oc-, of-, op-)",反；向,1,offer,/??f?/,v. 提供（某物给某人）；表示愿意（做某事）；提供（信息、忠告等），给予（表扬）等 n. 提议，提供物,前缀of-向+fer带→带到，带去→提供
否定方向,38,"ob-(oc-, of-, op-)",反；向,,occur,/??k??/,v. 发生；（某事物在某地）出现；（想法、主意在某人脑海中）突然出现,前缀oc-向+cur跑→向……跑来→发生，出现
否定方向,39,en-(em-),使……；使……进入,,enable,/?n?e?b?l/,v. 使能够；使成为可能；允许,前缀en-使+able能的
否定方向,39,en-(em-),使……；使……进入,,encourage,/?n?k?r?d?/,v. 鼓励；鼓舞；激励,前缀en-使……进入+courage勇气
否定方向,39,en-(em-),使……；使……进入,,endanger,/?n?de?nd??/,v. 危害,前缀en-使……进入+danger危险
否定方向,39,en-(em-),使……；使……进入,1,empower,/?m?pa??/,v. 授权；使能够,前缀em-使……进入+power权力
否定方向,40,be-,使；是,,before,/b??f??/,prep. 在（某日、某时、某事件）之前 conj. 在（某日、某时、某事件）以前,前缀be-是+fore前部的
否定方向,40,be-,使；是,,behind,/b??ha?nd/,prep. 在……后面 adv. 在后面,前缀be-是+hind后面的
否定方向,40,be-,使；是,,beside,/b??sa?d/,prep. 在……旁边,前缀be-是+side旁边
否定方向,40,be-,使；是,,below,/b??l??/,prep. 在……下面 adv. 在下面,前缀be-是+low低的
否定方向,40,be-,使；是,,become,/b??k?m/,v. 变成；适合，与……相称,前缀be-使+come来
否定方向,40,be-,使；是,1,belong,/b??l? /,v. 属于；（某人）所做，所有；是……的成员；属（某一类别、类型、群）,?前缀be-使+long长久的
否定方向,40,be-,使；是,1,beware,/b??w??/,v. 当心，提防,前缀be-使+ware看，意识到
否定方向,40,be-,使；是,1,befriend,/b??fr?nd/,v. 和……交朋友；友好对待,前缀be-使+friend朋友
否定方向,41,"dis-(dif-, di-)",否定；分开,,disagree,/?d?s??ɡri?/,v. 不同意，有分歧；不赞成,前缀dis-否定+agree同意
否定方向,41,"dis-(dif-, di-)",否定；分开,,discourage,/d?s?k?r?d?/,v. 使气馁；阻拦,前缀dis-否定+courage勇气
否定方向,41,"dis-(dif-, di-)",否定；分开,,dishonest,/d?s??n?st/,adj. 不诚实的,前缀dis-否定+honest诚实的
否定方向,41,"dis-(dif-, di-)",否定；分开,,discover,/d??sk?v?/,v. 发觉；发现，找到,前缀dis-分开+cover覆盖
