词性分类,后缀序号,后缀,后缀含义,需背记,单词,音标,中文释义,词根词缀拆解
形容词/副词后缀,5,ly,（1）（加在名词后）表示形容词（2）（加在形容词后）表示副词,,timely,/?ta?ml?/,adj. 适时的,time时间+后缀-ly表示形容词
形容词/副词后缀,5,ly,（1）（加在名词后）表示形容词（2）（加在形容词后）表示副词,,heavily,/?h?v?l?/,adv. 缓慢沉痛地；沉重地,heavy重的+后缀-ly表示副词
形容词/副词后缀,5,ly,（1）（加在名词后）表示形容词（2）（加在形容词后）表示副词,,rightly,/?ra?tl?/,adv. 与事实相符地；正确地,right正确的+后缀-ly表示副词
形容词/副词后缀,6,ward(s),（1）表示形容词，“朝向……”（2）表示副词，“朝向……”,,backward,/?b?kw?d/,adj. 向后的；退步的；落后的 adv. 向后；倒着地；倒推地,back向后+后缀-ward表示形容词或副词，“朝向……”
形容词/副词后缀,6,ward(s),（1）表示形容词，“朝向……”（2）表示副词，“朝向……”,,afterward(s),/?ɑ?ft?w?d(z)/,adv. （某事件、某时间）之后,after以后+后缀-ward表示副词，“朝向……”
形容词/副词后缀,6,ward(s),（1）表示形容词，“朝向……”（2）表示副词，“朝向……”,,onward,/??nw?d/,adj. 向前的；（旅程）继续进行的；发展的 adv. 向前地；（旅程）继续进行地；发展地,on继续+后缀-ward表示形容词或副词，“朝向……”
形容词/副词后缀,6,ward(s),（1）表示形容词，“朝向……”（2）表示副词，“朝向……”,,westward(s),/?w?stw?d(z)/,adv. 向西 adj. 向西的,west西面+后缀-ward表示形容词或副词，“朝向……”
形容词/副词后缀,7,wise,（1）表示形容词，“像……”（2）表示副词，“像……”,,otherwise,/??e??wa?z/,adv. 否则；除此以外；以不同方式；用别的方法,other其他的+后缀-wise表示副词，“像……”
形容词/副词后缀,7,wise,（1）表示形容词，“像……”（2）表示副词，“像……”,,clockwise,/?kl?k?wa?z/,adv. 顺时针地 adj. 顺时针的,clock时钟+后缀-wise表示形容词或副词，“像……”
形容词/副词后缀,7,wise,（1）表示形容词，“像……”（2）表示副词，“像……”,,likewise,/?la?k?wa?z/,adv. 同样地；照样地,like像+后缀-wise表示副词，“像……”
形容词/副词后缀,7,wise,（1）表示形容词，“像……”（2）表示副词，“像……”,,stepwise,/?st?p?wa?z/,adj. 阶梯式的 adv. 阶梯式地；逐步地,step台阶+后缀-wise表示形容词或副词，“像……”
形容词后缀,8,"able (-ible, -ile)",表示形容词，“能……的”,,valuable,/?v?lj??b?l/,adj. 有益的；值钱的,value估价+后缀-able表示形容词，“能……的”
形容词后缀,8,"able (-ible, -ile)",表示形容词，“能……的”,,movable,/?mu?v?b?l/,adj. 可移动的,move移动+后缀-able表示形容词，“能……的”
形容词后缀,8,"able (-ible, -ile)",表示形容词，“能……的”,,readable,/?ri?d?b?l/,adj. 易读的，有可读性的；字迹清晰的，容易辨认的,read读+后缀-able表示形容词，“能……的”
形容词后缀,8,"able (-ible, -ile)",表示形容词，“能……的”,1,divisible,/d??v?z?b?l/,adj. 可整除的,divide除+后缀-ible表示形容词，“能……的”
形容词后缀,8,"able (-ible, -ile)",表示形容词，“能……的”,,mobile,/?m??ba?l/,adj. 可移动的；行动方便的；流动的（指工作、住所或社会地位可变动的）n.移动电话,mob移动+后缀-ile表示形容词，“能……的”→处于移动中的，转化为名词
形容词后缀,9,"al (-ial, -ical, -ual)",（1）（加在名词后）表示形容词（2）（加在动词后）表示名词,,formal,/?f??m?l/,adj. 正式的（演讲、行为）；官方的，正式的（行为、陈述、要求等）；正式的（场合）,form形状+后缀-al表示形容词→有正式形状的
形容词后缀,9,"al (-ial, -ical, -ual)",（1）（加在名词后）表示形容词（2）（加在动词后）表示名词,1,facial,/?fe???l/,adj. 面部的 n. 美容,face脸+后缀-ial表示形容词，转化为名词
形容词后缀,9,"al (-ial, -ical, -ual)",（1）（加在名词后）表示形容词（2）（加在动词后）表示名词,,chemical,/?k?m?k?l/,adj. 化学的 n. 化学物；化学制品,chem化学+后缀-ical表示形容词，转化为名词
形容词后缀,9,"al (-ial, -ical, -ual)",（1）（加在名词后）表示形容词（2）（加在动词后）表示名词,,sexual,/?s?ksj??l/,adj.与性别有关的,sex性；性别+后缀-ual表示形容词
形容词后缀,9,"al (-ial, -ical, -ual)",（1）（加在名词后）表示形容词（2）（加在动词后）表示名词,,arrival,/??ra?v?l/,n. 到达；来临,arrive到达+后缀-al表示名词
形容词后缀,9,"al (-ial, -ical, -ual)",（1）（加在名词后）表示形容词（2）（加在动词后）表示名词,1,denial,/d??na??l/,n. 否认；拒绝给予；（不愉快事实的）拒绝接受,deny否认+后缀-al表示名词
形容词后缀,10,ic,表示形容词,,classic,/?kl?s?k/,adj. 典型的；经典的 n. 典范；经典；文学名著,class种类+后缀-ic表示形容词，转化为名词
形容词后缀,10,ic,表示形容词,,artistic,/ɑ??t?st?k/,adj. 有美术才能的；艺术的，艺术家的；（设计、布局）有艺术性的,artist艺术家+后缀-ic表示形容词
形容词后缀,10,ic,表示形容词,,heroic,/h??r???k/,adj. 英勇的；艰苦卓绝的；主人公的,hero英雄+后缀-ic表示形容词
形容词后缀,10,ic,表示形容词,,phonetic,/f??n?t?k/,adj. 语音的,phone音素+t+后缀-ic表示形容词
形容词后缀,11,ive,表示形容词，“……性质的”,,active,/??kt?v/,adj. 好动的；（思维或想象力）活跃的；积极主动的,act做+后缀-ive表示形容词，“……性质的”→行动的，好动的
形容词后缀,11,ive,表示形容词，“……性质的”,,attractive,/??tr?kt?v/,adj. 有魅力的；外表漂亮的，声音优美的；有诱惑力的,attract吸引+后缀-ive表示形容词，“……性质的”
形容词后缀,11,ive,表示形容词，“……性质的”,,talkative,/?t??k?t?v/,adj. 爱说话的,talk说话+-at-+后缀-ive表示形容词，“……性质的”
形容词后缀,11,ive,表示形容词，“……性质的”,,productive,/pr??d?kt?v/,adj. 生产力高的；富有成效的,product产品+后缀-ive表示形容词，“……性质的”
形容词后缀,12,ous,表示形容词,,famous,/?fe?m?s/,adj. 有名的,fame名声+后缀-ous表示形容词
形容词后缀,12,ous,表示形容词,1,joyous,/?d????s/,adj. 非常快乐的,joy高兴+后缀-ous表示形容词
形容词后缀,12,ous,表示形容词,,spacious,/?spe???s/,adj. 宽敞的,space空间+-i-+后缀-ous表示形容词
形容词后缀,12,ous,表示形容词,1,murderous,/?m??d?r?s/,adj. 蓄意谋杀的，杀人的；凶残的，凶杀的,murder谋杀+后缀-ous表示形容词
形容词后缀,13,y (-ey),（1）（加在名词后）表示形容词，“多……的”（2）（加在动词后）表示名词,,sleepy,/?sli?p?/,adj. 困倦的，昏昏欲睡的；寂静的，不活跃的,sleep睡眠+后缀-y表示形容词，“多……的”
形容词后缀,13,y (-ey),（1）（加在名词后）表示形容词，“多……的”（2）（加在动词后）表示名词,,cloudy,/?kla?d?/,adj. 多云的；（液体）浑浊的,cloud云+后缀-y表示形容词，“多……的”
形容词后缀,13,y (-ey),（1）（加在名词后）表示形容词，“多……的”（2）（加在动词后）表示名词,1,shady,/??e?d?/,adj. 阴凉的，背阴的；可疑的，不法的,shade阴凉处+后缀-y表示形容词，“多……的”
形容词后缀,13,y (-ey),（1）（加在名词后）表示形容词，“多……的”（2）（加在动词后）表示名词,,sandy,/?s?nd?/,adj. 覆盖着沙的,sany沙+后缀-y表示形容词，“多……的”
形容词后缀,13,y (-ey),（1）（加在名词后）表示形容词，“多……的”（2）（加在动词后）表示名词,,discovery,/d??sk?v?r?/,n. 发现；新发现,discover发现+后缀-y表示名词
形容词后缀,13,y (-ey),（1）（加在名词后）表示形容词，“多……的”（2）（加在动词后）表示名词,,treaty,/?tri?t?/,n. 条约,treat处理+后缀-y表示名词
形容词后缀,14,ed,表示形容词，“被……的”,,bored,/b??d/,adj. 厌烦的,bore使厌烦+后缀-ed表示形容词，“被……的”
形容词后缀,14,ed,表示形容词，“被……的”,,learned,/?l??n?d/,adj. 博学的,learn学习+后缀-ed表示形容词，“被……的”
形容词后缀,14,ed,表示形容词，“被……的”,,limited,/?l?m?t?d/,adj. 有限的；有限责任的（公司）,limit限制+后缀-ed表示形容词，“被……的”
形容词后缀,14,ed,表示形容词，“被……的”,,married,/?m?r?d/,adj. 已婚的；婚姻的，夫妻的,marry结婚+后缀-ed表示形容词，“被……的”
形容词后缀,15,ful,（1）表示形容词，“充满……的”（2）表示名词，“一……的容量”,,careful,/?k??f?l/,adj. 谨慎的，注意的；仔细的；当心的,care关心+后缀-ful表示形容词，“充满……的”
形容词后缀,15,ful,（1）表示形容词，“充满……的”（2）表示名词，“一……的容量”,,helpful,/?h?lpf?l/,adj. 有帮助的；有用的（信息或建议）,help帮助+后缀-ful表示形容词，“充满……的”
形容词后缀,15,ful,（1）表示形容词，“充满……的”（2）表示名词，“一……的容量”,,spoonful,/?spu?n?f?l/,n. 一匙的量,spoon勺，匙+后缀-ful表示名词，“一……的容量”
形容词后缀,15,ful,（1）表示形容词，“充满……的”（2）表示名词，“一……的容量”,,handful,/?h?ndf?l/,n. 少数；一把,hand手+后缀-ful表示名词，“一……的容量”
形容词后缀,16,less,表示形容词，“无……的”,,careless,/?k??l?s/,adj. 粗心的；不在意的,care关心+后缀-less表示形容词，“无……的”
形容词后缀,16,less,表示形容词，“无……的”,,useless,/?ju?sl?s/,adj. （指某物）不能用的；没用的，不起作用的；（人或物）不行的；（某人感到）没用的,use用处+后缀-less表示形容词，“无……的“
形容词后缀,16,less,表示形容词，“无……的”,,helpless,/?h?lpl?s/,adj. 无能为力的,help帮助+后缀-less表示形容词，“无……的”
形容词后缀,16,less,表示形容词，“无……的”,,homeless,/?h??ml?s/,adj. 无家可归的,home家+后缀-less表示形容词，“无……的”
形容词后缀,17,ish,（1）（加在名词后）表示形容词，“有……倾向的”（贬义）（2）（加在形容词后）表示动词，表示“造成”,,childish,/?t?a?ld??/,adj. 孩子的，孩子特有的；幼稚的,child孩子+后缀-ish表示形容词，“有……倾向的”
形容词后缀,17,ish,（1）（加在名词后）表示形容词，“有……倾向的”（贬义）（2）（加在形容词后）表示动词，表示“造成”,,girlish,/?ɡ??l??/,adj. 少女似的,girl女孩+后缀-ish表示形容词，“有……倾向的”
形容词后缀,17,ish,（1）（加在名词后）表示形容词，“有……倾向的”（贬义）（2）（加在形容词后）表示动词，表示“造成”,1,longish,/?l? ??/,adj. 较长的,long长的+后缀-ish表示形容词
形容词后缀,17,ish,（1）（加在名词后）表示形容词，“有……倾向的”（贬义）（2）（加在形容词后）表示动词，表示“造成”,,publish,/?p?bl??/,v. 出版；刊登；出版，发表；公开,public公开的+后缀-ish表示动词，“造成”
形容词后缀,18,some,表示形容词，“易于……的”,1,troublesome,/?tr?b?ls?m/,adj. 令人烦恼的,trouble烦恼+后缀-some表示形容词，“易于……的”
形容词后缀,18,some,表示形容词，“易于……的”,,awesome,/???s?m/,adj. 令人畏惧的；棒极了的,awe敬畏+后缀-some表示形容词，“易于……的”
形容词后缀,18,some,表示形容词，“易于……的”,,fearsome,/?f??s?m/,adj. 可怕的,fear害怕+后缀-some表示形容词，“易于……的”
形容词后缀,18,some,表示形容词，“易于……的”,1,lonesome,/?l??ns?m/,adj. 孤寂的；荒僻的,lone孤独的+后缀-some表示形容词，“易于……的”
形容词后缀,19,proof,表示形容词，“防……的”,,waterproof,/?w??t??pru?f/,adj. 防水的,water水+后缀-proof表示形容词，“防……的”
形容词后缀,19,proof,表示形容词，“防……的”,,fireproof,/?fa???pru?f/,adj. 防火的,fire火+后缀-proof表示形容词，“防……的”
形容词后缀,19,proof,表示形容词，“防……的”,,rainproof,/?re?n?pru?f/,adj. （衣服、材料、建筑等）防雨水的,rain雨+后缀-proof表示形容词，“防……的”
形容词后缀,19,proof,表示形容词，“防……的”,,shockproof,/???k?pru?f/,adj. 防震的,shock震动+后缀-proof表示形容词，“防……的”
名词后缀,20,er/-or/-eer/-eur,表示名词，“人或物”,,counter,/?ka?nt?/,n. 柜台；计数器；棋子,count数+后缀-er表示名词，“人或物”（此处表物）
名词后缀,20,er/-or/-eer/-eur,表示名词，“人或物”,,employer,/?m?pl???/,n. 雇主,employ雇用+后缀-er表示名词，“人或物”（此处表人）
名词后缀,20,er/-or/-eer/-eur,表示名词，“人或物”,,actor,/??kt?/,n. 男演员,act表演+后缀-or表示名词，“人或物”（此处表人）
名词后缀,20,er/-or/-eer/-eur,表示名词，“人或物”,,engineer,/??nd???n??/,n. 工程师；维修师；轮机师 v. 设计制造；策划,engine引擎+后缀-er表示名词，“人或物”（此处表人），转化为动词
名词后缀,20,er/-or/-eer/-eur,表示名词，“人或物”,1,amateur,"/??m?t?, -t???/",n. 业余爱好者 adj. 业余的,amat爱+后缀-eur表示名词，“人或物”（此处表人）
名词后缀,21,ee,表示名词，“被动的人”,,employee,/?m?pl??i?/,n. 雇员,employ雇用+后缀-ee表示名词，“被动的人”
名词后缀,21,ee,表示名词，“被动的人”,,trainee,/tre??ni?/,n. 实习生,train培训+后缀-ee表示名词，“被动的人”
名词后缀,21,ee,表示名词，“被动的人”,,interviewee,/??nt?vju?i?/,n. 被面试者；被采访者；被询问者,interview面试；采访；询问+后缀-ee表示名词，“被动的人”
名词后缀,21,ee,表示名词，“被动的人”,1,nominee,/?n?m??ni?/,n. 候选人,nomin名字+后缀-ee表示名词，“被动的人”→被提名的人
名词后缀,22,ent,（1）表示名词，“人或物“（2）表示形容词,,president,/?pr?z?d?nt/,n. 总统；（某组织的）最高权力人,前缀pre-前+sid坐+后缀-ent表示名词，“人或物”→开会坐在前面的人
名词后缀,22,ent,（1）表示名词，“人或物“（2）表示形容词,,agent,/?e?d??nt/,n. 代理商；（艺术界的）经纪人；间谍,ag做+后缀-ent表示名词，“人或物”→（居间）做事的人→代理人，经纪人
名词后缀,22,ent,（1）表示名词，“人或物“（2）表示形容词,,different,"/?d?f?r?nt, ?d?fr?nt/",adj. 不同的；与……不同的,differ不同+后缀-ent表示形容词
名词后缀,22,ent,（1）表示名词，“人或物“（2）表示形容词,,dependent,/d??p?nd?nt/,adj. 依靠的；取决于……的,depend依靠+后缀-ent表示形容词
名词后缀,23,ant,（1）表示名词，“人或物“（2）表示形容词,1,servant,/?s??v?nt/,n. 仆人，佣人；雇员,serv当奴仆+后缀-ant表示名词，“人或物”（此处表人）
名词后缀,23,ant,（1）表示名词，“人或物“（2）表示形容词,1,accountant,/??ka?nt?nt/,n. 会计师,account账户+后缀-ant表示名词，“人或物”（此处表人）
名词后缀,23,ant,（1）表示名词，“人或物“（2）表示形容词,,pendant,/?p?nd?nt/,n. 坠饰，挂件,pend悬挂+后缀-ant表示名词，“人或物”（此处表物）
名词后缀,23,ant,（1）表示名词，“人或物“（2）表示形容词,,important,/?m?p??t?nt/,adj. 重要的；有势力的,import重要性+后缀-ant表示形容词
名词后缀,23,ant,（1）表示名词，“人或物“（2）表示形容词,,acceptant,/?k?s?pt?nt/,adj. 自愿接受的,accept接受+后缀-ant表示形容词
名词后缀,24,"ar (-ular, -icular)",（1）表示名词，“人或物”（2）表示形容词,1,grammar,/?ɡr?m?/,n. 语法；语法的运用,gram写+-m-+后缀-ar表示名词，“人或物”→与书写有关的（文字技巧）→语法（此处表物）
名词后缀,24,"ar (-ular, -icular)",（1）表示名词，“人或物”（2）表示形容词,,scholar,/?sk?l?/,n. 学者,school学院+后缀-ar表示名词，“人或物”（此处表人）
名词后缀,24,"ar (-ular, -icular)",（1）表示名词，“人或物”（2）表示形容词,1,spectacular,/sp?k?t?kj?l?/,adj. 壮观的 n. 盛大的演出,spectacle盛大的活动+后缀-ular表示形容词，或表示名词，“人或物”（此处表物）
名词后缀,24,"ar (-ular, -icular)",（1）表示名词，“人或物”（2）表示形容词,,solar,/?s??l?/,adj. 太阳的；太阳产生的,sol太阳+后缀-ar表示形容词
名词后缀,24,"ar (-ular, -icular)",（1）表示名词，“人或物”（2）表示形容词,,linear,/?l?n??/,adj. 线性的；由直线组成的；直线的,line线+后缀-ar表示形容词
名词后缀,24,"ar (-ular, -icular)",（1）表示名词，“人或物”（2）表示形容词,,regular,/?r?ɡj?l?/,adj. 定期的；经常的；固定的 n. 常客，正式队员,reg画直线+后缀-ular表示形容词，或表示名词，“人或物”（此处表物）→直的→规则的，规律的
名词后缀,24,"ar (-ular, -icular)",（1）表示名词，“人或物”（2）表示形容词,,particular,/p??t?kj?l?/,adj. 专指的；独特的；非同寻常的,part部分+后缀-icular表示形容词→某一部分的→专指的
名词后缀,25,ian,（1）表示名词，“人”（2）表示形容词或名词，“国家的（人）”,,musician,/mju??z???n/,n. 音乐家；音乐演奏者,music音乐+后缀-ian表示名词，“人“
名词后缀,25,ian,（1）表示名词，“人”（2）表示形容词或名词，“国家的（人）”,,librarian,/la??br??r??n/,n. 图书管理员,library图书馆+后缀-ian表示名词，“人”
名词后缀,25,ian,（1）表示名词，“人”（2）表示形容词或名词，“国家的（人）”,,Egyptian,/??d??p??n/,adj. 埃及（人）的；埃及语的；埃及文化的；与古埃及相关的 n.埃及人；古埃及人,Egypt埃及+后缀-ian表示名词或形容词，“国家的（人）”
名词后缀,25,ian,（1）表示名词，“人”（2）表示形容词或名词，“国家的（人）”,,Arabian,/??re?b??n/,adj. 阿拉伯的；（尤指）沙特阿拉伯的 n.阿拉伯人,Arab阿拉伯人+后缀-ian表示名词或形容词，“国家的（人）”
名词后缀,26,ist,表示名词，“专家，从事……活动的人”,,artist,/?ɑ?t?st/,n. 美术家；文学艺术家；表演艺术家,art艺术+后缀-ist表示名词，“专家，从事……活动的人”
名词后缀,26,ist,表示名词，“专家，从事……活动的人”,,scientist,/?sa??nt?st/,n. 科学家,science科学+后缀-ist表示名词，“专家，从事……活动的人”
名词后缀,26,ist,表示名词，“专家，从事……活动的人”,,tourist,/?t??r?st/,n. 游客,tour旅行+后缀-ist表示名词，“专家，从事……活动的人”
名词后缀,26,ist,表示名词，“专家，从事……活动的人”,1,humanist,/?hju?m?n?st/,n. 人道主义者；人文学者；人文主义者,human人+后缀-ist表示名词，“专家，从事……活动的人”
名词后缀,27,ese,（1）表示名词，“……地方的人或语言”（2）表示形容词，“国家（地方）的”,,Chinese,/t?a??ni?z/,adj. 中国的；中文的；中国人的 n. 中国人；普通话,China中国+后缀-ese表示名词，“……地方的人或语言”，或表示形容词，“国家（地方）的”
名词后缀,27,ese,（1）表示名词，“……地方的人或语言”（2）表示形容词，“国家（地方）的”,,Japanese,/?d??p??ni?z/,adj. 日本的；日本人的；日语的；日本文化的 n. 日本人；日语,Japan 日本+后缀-ese 表示名词，“……地方的人或语言”，或表示形容词，“国家（地方）的”
名词后缀,27,ese,（1）表示名词，“……地方的人或语言”（2）表示形容词，“国家（地方）的”,1,Cantonese,/?k?nt??ni?z/,adj. 广州的；广东省的 n. 广州人，广东人；粤语,Canton广州（旧称）+后缀-ese表示名词，“……地方的人或语言”，或表示形容词，“国家（地方）的”
名词后缀,27,ese,（1）表示名词，“……地方的人或语言”（2）表示形容词，“国家（地方）的”,1,Vietnamese,/?vj?tn??mi?z/,adj. 越南的；越南人的；越南语的 n. 越南人,Vietnam越南+后缀-ese表示名词，“……地方的人或语言” ，或表示形容词，“国家（地方）的”
名词后缀,28,ence (-ency),表示名词,,difference,"/?d?f?r?ns, ?d?fr?ns/",n. 差异；分歧；差额,differ不同 +后缀-ence表示名词
名词后缀,28,ence (-ency),表示名词,,agency,/?e?d??ns?/,n. 代理公司；地区政府,ag做+后缀-ency表示名词→代理机构
名词后缀,28,ence (-ency),表示名词,,dependence,/d??p?nd?ns/,n. 依靠；（毒、酒）瘾；依赖,depend依靠+后缀-ence表示名词
名词后缀,28,ence (-ency),表示名词,,urgency,/???d??nsi/,n. 紧急；催促；紧急的事,urge强烈要求+后缀-ency表示名词
名词后缀,29,ance (-ancy),表示名词,,importance,/?m?p??t?ns/,n. 重要；名望,import重要性+后缀-ance表示名词
名词后缀,29,ance (-ancy),表示名词,,acceptance,/?k?s?pt?ns/,n. 接受；承认；容忍,accept接受+后缀-ance表示名词
名词后缀,29,ance (-ancy),表示名词,1,accountancy,/??ka?nt?ns?/,n. 会计学,account账户+后缀-ancy表示名词
名词后缀,29,ance (-ancy),表示名词,1,occupancy,/??kj?p?ns?/,n. 占用,occupy占据+后缀-ancy表示名词
名词后缀,30,age,表示名词,,passage,/?p?s?d?/,n. 过道；走廊；章节，段落，乐段；（人体内的）道；通路,pass经过+后缀-age表示名词
名词后缀,30,age,表示名词,,baggage,/?b?ɡ?d?/,n. 行李；（感情或思想上的）包袱,bag袋子+-g-+后缀-age表示名词
名词后缀,30,age,表示名词,1,bandage,/?b?nd?d?/,n. 绷带 v. 用绷带包扎,band带子+后缀-age表示名词，转化为动词
名词后缀,30,age,表示名词,1,postage,/?p??st?d?/,n. 邮资,post邮寄+后缀-age表示名词
名词后缀,31,"ion (-ation, -ition)",表示名词,,action,/??k??n/,n. 行动；（军事）行动；行为；诉讼,act做+后缀-ion表示名词
名词后缀,31,"ion (-ation, -ition)",表示名词,,attraction,/??tr?k??n/,n. 吸引（常指异性）；吸引力；游览胜地,attract吸引+后缀-ion表示名词
名词后缀,31,"ion (-ation, -ition)",表示名词,,classification,/?kl?s?f??ke???n/,n. 类别,classify分类+-ic-+后缀-ation表示名词
名词后缀,31,"ion (-ation, -ition)",表示名词,1,definition,/?d?f??n???n/,n. 定义；清晰度,define下定义+后缀-ition表示名词
名词后缀,32,ment,表示名词,,government,/?ɡ?v?nm?nt/,n. 政府；治理,govern统治+后缀-ment表示名词
名词后缀,32,ment,表示名词,,development,/d??v?l?pm?nt/,n. 发育，逐渐形成；发展；开发；进展；开发区,develop发展；产生+后缀-ment表示名词
名词后缀,32,ment,表示名词,,payment,/?pe?m?nt/,n. 支付的款项；支付,pay支付+后缀-ment表示名词
名词后缀,32,ment,表示名词,,basement,/?be?sm?nt/,n. 地下室,base底部+后缀-ment表示名词
名词后缀,33,ure,表示名词，“状态”,1,pleasure,/?pl???/,n. 愉悦；娱乐；乐事,please使高兴+后缀-ure表示名词，“状态”
名词后缀,33,ure,表示名词，“状态”,,failure,/?fe?lj?/,n. 失败；未成,fail失败+后缀-ure表示名词，“状态”
名词后缀,33,ure,表示名词，“状态”,,mixture,/?m?kst??/,n. 混合；混合物,mix混合+-t-+后缀-ure表示名词，“状态”
名词后缀,33,ure,表示名词，“状态”,,creature,/?kri?t??/,n. （尤指不明的或想象中的）生物，动物,create创造+后缀-ure表示名词，“状态”
名词后缀,34,ery,（1）（加在动词后）表示名词，“场所”（2）（加在名词后）表示名词,1,bakery,"/?be?k?r?, ?be?kr?/",n. 面包房，面包店,bake烤制（面包等食品）+后缀-ery表示名词，“场所”
名词后缀,34,ery,（1）（加在动词后）表示名词，“场所”（2）（加在名词后）表示名词,,fishery,/?f???r?/,n. 渔场；养鱼场,fish钓鱼+后缀-ery表示名词，“场所”
名词后缀,34,ery,（1）（加在动词后）表示名词，“场所”（2）（加在名词后）表示名词,1,machinery,/m???i?n?r?/,n. 机器，机械；（政府或组织的）体制,machine机器+后缀-ery表示名词
名词后缀,34,ery,（1）（加在动词后）表示名词，“场所”（2）（加在名词后）表示名词,1,cookery,/?k?k?r?/,n. 烹饪,cook烹饪+后缀-ery表示名词
名词后缀,35,ary/-ory,（1）表示名词，“……的场所”；“人或物”（2）表示形容词,,library,/?la?br?r?/,n. 图书馆；图书室；书房；收藏品,libr书+后缀-ary表示名词，“……的场所”
名词后缀,35,ary/-ory,（1）表示名词，“……的场所”；“人或物”（2）表示形容词,,secretary,/?s?kr?tr?/,n. 秘书；（公司负责保管各种记录的）干事；大臣，部长,secret秘密的+后缀-ary表示名词，“人或物”（此处表人）
名词后缀,35,ary/-ory,（1）表示名词，“……的场所”；“人或物”（2）表示形容词,1,secondary,/?s?k?nd?r?/,adj. 次要的；（疾病、感染等）续发性的；（教育）中等的,second第二+后缀-ary表示形容词
名词后缀,35,ary/-ory,（1）表示名词，“……的场所”；“人或物”（2）表示形容词,1,customary,/?k?st?m?r?/,adj. 通常的；习惯上的,custom习惯+后缀-ary表示形容词
名词后缀,35,ary/-ory,（1）表示名词，“……的场所”；“人或物”（2）表示形容词,,factory,"/?f?kt?r?, -tr?/",n. 工厂,fact做+后缀-ory表示名词，“……的场所”→做工的场所
名词后缀,35,ary/-ory,（1）表示名词，“……的场所”；“人或物”（2）表示形容词,1,advisory,/?d?va?z?r?/,n. 警告 adj. 咨询性的,前缀 ad-去+vis 看+后缀-ory 表示名词，“人或物”（此处表物），或表示形容词
名词后缀,35,ary/-ory,（1）表示名词，“……的场所”；“人或物”（2）表示形容词,,satisfactory,/?s?t?s?f?kt?r?/,adj. 令人满意的，合适的,satis足够+fact做+后缀-ory表示形容词
